Product Catalogue
1,2.3,teddy_bear
1,3.5,baby_powder
1,1.9,pampers_diapers
1,3.6,johnson_wipes
1,0.7,cotton_buds
1,2.8,bath_towel
1,4.5,scissor
1,0.5,cotton_balls
1,1.2,powder_puff
1,7.8,toy_bike
1,10.2,toy_bike,johnson_wipes,bath_towel
1,5.6,teddy_bear,pampers_diapers,cotton_buds
1,6.7,scissor,cotton_balls,powder_puff,baby_powder
2,2.2,teddy_bear
2,3.6,baby_powder
2,1.8,pampers_diapers
2,3.9,johnson_wipes
2,0.1,cotton_buds
2,2.6,bath_towel
2,4.3,scissor
2,0.8,cotton_balls
2,1.2,powder_puff
2,7.9,toy_bike
2,3.5,cotton_buds,scissor,baby_powder
2,7.3,bath_towel,cotton_balls,powder_puff
2,9.4,toy_bike,johnson_wipes,pampers_diapers,teddy_bear
3,2.9,teddy_bear
3,3.4,baby_powder
3,1.7,pampers_diapers
3,3.8,johnson_wipes
3,0.2,cotton_buds
3,2.8,bath_towel
3,4.9,scissor
3,0.2,cotton_balls
3,1.6,powder_puff
3,7.7,toy_bike
4,2.9,teddy_bear
4,3.2,baby_powder
4,1.5,pampers_diapers
4,3.6,johnson_wipes
4,0.9,cotton_buds
4,2.3,bath_towel
4,4.4,scissor
4,0.8,cotton_balls
4,1.2,powder_puff
4,7.9,toy_bike
4,4.7,cotton_buds,cotton_balls,bath_towel
4,7.8,scissor,teddy_bear,baby_powder
4,8.6,toy_bike,powder_puff,pampers_diapers,johnson_wipes
5,2.1,teddy_bear
5,3.2,baby_powder
5,1.8,pampers_diapers
5,3.3,johnson_wipes
5,0.8,cotton_buds
5,2.4,bath_towel
5,4.6,scissor
5,0.8,cotton_balls
5,1.1,powder_puff
5,7.9,toy_bike

